volt,current,capacity
3.90,495.20,0.18
3.90,495.90,0.34
3.90,495.30,0.50
3.89,495.10,0.66
3.89,495.10,0.82
3.89,495.50,0.98
3.89,495.30,1.14
3.89,495.40,1.30
3.89,495.00,1.45
3.89,494.70,1.61
3.89,495.00,1.77
3.89,494.80,1.93
3.89,494.60,2.09
3.89,494.70,2.25
3.88,494.50,2.41
3.89,494.60,2.57
3.88,494.40,2.73
3.88,494.60,2.88
3.88,494.00,3.04
3.88,494.10,3.20
3.88,493.90,3.36
3.88,493.80,3.52
3.88,493.90,3.68
3.87,493.80,3.84
3.87,494.00,4.00
3.87,493.40,4.15
3.87,493.60,4.31
3.87,493.40,4.47
3.87,493.20,4.63
3.87,493.60,4.79
3.87,493.10,4.95
3.87,493.10,5.11
3.87,493.10,5.26
3.87,493.00,5.42
3.87,493.20,5.58
3.87,493.20,5.74
3.87,492.80,5.90
3.87,492.70,6.06
3.87,492.40,6.21
3.87,492.70,6.37
3.87,492.20,6.53
3.87,492.30,6.69
3.87,491.80,6.85
3.87,491.70,7.00
3.87,491.90,7.16
3.87,491.90,7.32
3.87,491.70,7.48
3.87,491.80,7.64
3.87,491.70,7.79
3.87,491.20,7.95
3.87,491.70,8.11
3.87,491.90,8.27
3.87,491.40,8.43
3.86,489.60,8.58
3.86,489.80,8.74
3.86,489.50,8.90
3.86,489.60,9.05
3.86,489.60,9.21
3.86,489.70,9.37
3.86,489.80,9.53
3.86,489.50,9.68
3.86,489.30,9.84
3.86,489.20,10.00
3.86,489.40,10.16
3.86,489.20,10.31
3.86,489.30,10.47
3.86,489.10,10.63
3.86,488.80,10.79
3.86,489.00,10.94
3.86,488.70,11.10
3.86,488.80,11.26
3.86,489.00,11.41
3.86,488.80,11.57
3.86,488.60,11.73
3.86,488.40,11.88
3.85,488.60,12.04
3.85,488.60,12.20
3.85,488.30,12.36
3.85,488.20,12.51
3.86,488.40,12.67
3.85,488.10,12.83
3.85,488.40,12.98
3.86,488.10,13.14
3.85,488.00,13.30
3.86,488.30,13.46
3.85,488.30,13.61
3.85,488.10,13.77
3.85,488.40,13.93
3.85,488.50,14.08
3.85,488.20,14.24
3.85,488.50,14.40
3.85,488.10,14.56
3.85,488.60,14.71
3.85,488.30,14.87
3.85,488.40,15.03
3.85,488.60,15.18
3.85,488.40,15.34
3.85,488.20,15.50
3.85,488.40,15.66
3.85,488.20,15.81
3.85,488.20,15.97
3.85,488.30,16.13
3.85,488.10,16.28
3.85,488.30,16.44
3.85,488.20,16.60
3.85,488.30,16.76
3.85,488.20,16.91
3.85,487.90,17.07
3.85,488.00,17.23
3.85,488.00,17.38
3.85,488.20,17.54
3.85,487.90,17.70
3.84,488.30,17.86
3.84,488.30,18.01
3.85,488.20,18.17
3.85,487.80,18.33
3.84,487.70,18.48
3.84,488.30,18.64
3.84,487.60,18.80
3.85,488.10,18.95
3.84,487.70,19.11
3.84,487.70,19.27
3.84,488.00,19.43
3.84,487.60,19.58
3.84,487.40,19.74
3.84,487.70,19.90
3.85,487.50,20.05
3.84,487.60,20.21
3.84,487.20,20.37
3.84,487.40,20.52
3.84,487.30,20.68
3.84,487.40,20.84
3.84,487.40,20.99
3.84,487.30,21.15
3.84,487.30,21.31
3.84,487.10,21.47
3.84,486.90,21.62
3.84,487.30,21.78
3.84,486.90,21.94
3.84,487.00,22.09
3.84,487.00,22.25
3.84,486.90,22.41
3.84,487.00,22.56
3.84,487.10,22.72
3.84,487.10,22.88
3.84,486.90,23.03
3.84,487.10,23.19
3.84,486.90,23.35
3.84,487.00,23.50
3.84,486.90,23.66
3.84,486.80,23.82
3.84,487.20,23.97
3.84,486.70,24.13
3.84,486.90,24.29
3.84,486.80,24.44
3.84,486.70,24.60
3.84,486.90,24.76
3.84,486.70,24.91
3.84,486.70,25.07
3.84,486.70,25.23
3.84,486.70,25.38
3.84,486.50,25.54
3.84,486.90,25.70
3.84,486.20,25.85
3.84,486.30,26.01
3.84,486.60,26.17
3.84,486.60,26.32
3.84,486.70,26.48
3.84,486.70,26.64
3.84,486.50,26.79
3.84,486.50,26.95
3.84,486.70,27.10
3.84,486.70,27.26
3.84,486.70,27.42
3.84,486.60,27.57
3.84,486.80,27.73
3.84,486.50,27.89
3.84,486.50,28.04
3.84,486.30,28.20
3.84,486.80,28.36
3.84,486.40,28.51
3.84,486.90,28.67
3.84,486.60,28.83
3.84,487.10,28.98
3.84,486.80,29.14
3.84,486.70,29.30
3.84,486.50,29.45
3.84,486.50,29.61
3.83,486.60,29.77
3.84,486.70,29.92
3.84,486.30,30.08
3.84,486.50,30.24
3.84,486.40,30.39
3.84,486.10,30.55
3.84,486.40,30.71
3.84,485.80,30.86
3.84,486.50,31.02
3.84,486.40,31.18
3.84,486.40,31.33
3.84,486.30,31.49
3.83,486.10,31.65
3.84,486.30,31.80
3.84,486.00,31.96
3.83,486.00,32.12
3.83,486.20,32.27
3.84,486.30,32.43
3.84,486.00,32.59
3.84,485.80,32.74
3.84,486.30,32.90
3.84,485.50,33.05
3.84,485.80,33.21
3.83,486.10,33.37
3.84,486.30,33.52
3.83,486.40,33.68
3.84,485.90,33.84
3.83,485.60,33.99
3.84,486.30,34.15
3.84,486.10,34.31
3.83,486.10,34.46
3.84,485.80,34.62
3.84,486.10,34.78
3.83,485.90,34.93
3.83,485.60,35.09
3.83,485.80,35.24
3.83,485.70,35.40
3.84,485.60,35.56
3.83,485.60,35.71
3.83,485.60,35.87
3.84,485.80,36.03
3.83,485.40,36.18
3.84,485.70,36.34
3.84,485.30,36.50
3.83,485.40,36.65
3.84,485.50,36.81
3.84,485.60,36.96
3.83,485.60,37.12
3.84,485.60,37.28
3.84,485.60,37.43
3.83,485.60,37.59
3.84,485.40,37.75
3.83,485.20,37.90
3.83,485.30,38.06
3.83,485.50,38.21
